,username,followers_count,following_count,user_tweet_count,listed_count,description,user_id
36,GAWHeckman,1762,282,22581,37,Geriatricians are the decathletes of medicine. InterRAI. System integration for frail seniors. Tweets reflect my own opinions. Retweets do not imply agreement.,3033704345
37,ScienceNotDogma,10814,10259,29537,99,"🌎Fighting #disinformation / #misinformation on the #ClimateCrisis, #vaccines and #Science in general.📚 #ClimateAction #BlackLivesMatter #COVID19😷☣️👨🏿He/Him",1050392630922629121
38,JWMinBBY,113,835,8184,3,"Crazy things happen around me.  Especially on buses.

Twitter is the angry me.

Judge of Cats with Jobs.",206305870
39,MissSherr,618,687,5614,1,"#single-mom #Christian #intp #BiliaryAtresiaSurvivor #vaxxed&boosted.

❤️'s #Jesus, my son, 🇨🇦 & 🎶!",839122296023441408
40,andresgp76,35,106,256,4,,84709908
41,jubro4451,29,15,3408,0,,1184203628128755720
42,yoursmartdocs,23,125,2237,0,be smart -make good decisions- ask questions,1439713637208309762
43,loretta_green83,248,429,7625,0,I'm on Twitter...fixed my handle! (*hat was free...I'm a hockey fan),1354847639691378688
44,Robdoyle,242,716,20277,2,Wine (check) Scotch (check) Cigars (check) Friends (check) Fun (check check) Egg Picture...? What happened to the bird?,18492444
45,HollSpen,59,178,337,2,,1928781212
46,FireAndIce48,868,2430,11188,0,"💉💉💉Right now, I am a VERY UNHAPPY Ottawa Centretown resident!  Less politics & more art, music, books, nature in ‘22. Winnipegger. Reservist-Veteran",1254450612701483008
47,ManLeafs,493,1047,4975,2,"science, hockey, music, and guitars, atheist, kratom advocate, ancient history fan, love paleoanthropology & evolution",1181348258087612417
48,HearinYQF,389,291,21793,2,,3248793252
49,owtrayjed,458,928,18182,0,Yes. Outraged. 3x vaccinated. SK. #supporteveryonesbits #mindyourownbits,1243944114472673280
50,AlaninCharlotte,2902,3389,91373,1,#Progressive1LeverPullingDem #BustTheFillibuster #BlueWave2022 #IDontTrustCheneyAndKinzinger I VET all follow requests! NO DMS w/o permission!  #DESTROYTHEGQP,1099795988879953920
51,CheesyAllie,3255,3439,9333,7,Cancer Treater 😷🏥 Cancer Patient 👩🏼‍🦲🤮 Cancer Survivor 🎗💪 #ExPat in CR 🌴 CA is 🏡💕 #Left 👈 #Resist ✊🏽 #BLM ✊🏿 #Weed 🍃 #Packers 🏈 Yo Habla Español,1030933334
52,amber4913,246,887,4838,1,"Mom, wife, lover of nature, 📚 🐈 and 🐕. Lefty political geek wannabe. Metis 🌸 Water is life 🌍💙💚💙💧💧💧✊✊ she/her",23151426
53,vixy_vee,5262,5674,52410,97,"Writer, artist, soul-stealing photographer, pugs, puns & politics 🇨🇦 👁️‍🗨️ Half of @genieandduck Cleavage soothes the savage beast.",158974052
54,dan_kahraman,3,35,316,0,,3782573416
55,ShamanaDreams,840,1422,8787,45,"Holistic Sex+Relationship Coach💋| Sex Ed Advocate✊🏾 | The Divine Mystery✨ @YouTube➔Sex+Dating Tips,#SexTech Trends | Cert'd so I can lul @ your #infosec memes",49527026
56,incognito_nunya,4694,4310,67107,8,"Great Pyrenees fan! Kittens and lovebird and bunnies, oh my! Jackass of many trades, master of one.",1133254168217509889
57,goldribbons1606,153,153,2103,0,"Hitting the retweet button more than I post. Happily blocking Covidiots one moron at a time.
#RamRanchResistance",330384302
59,pirate_beowolf,196,93,1582,3,"Just a Gamer Pirate 
3 weeks on a ventilator of Apr-June 2021 in hospital
Covid survivor, now dealing with Long Covid.
3x Monderna and a Pug Dad",3124474228
60,MaxineVerge,58,339,1081,0,,634768351
61,BeachLFireLecce,606,1208,15502,7,,1288710201240178688
62,kimmieM1973,11590,2513,49887,17,Hockey Mom who misses the Canada I grew up in.,749565752
63,inatimeofdeceit,1334,2139,9242,1,"Заткнись
wear a mask, social distance, it was so simple but no FREEDUMB!🤬
twitter challenged, grammar challenged, I just try! 🙃",1232025323895693314
64,dinsmore_joyce,153,371,20505,1,,759765576558448640
65,CharlesDeschen1,728,741,60233,20,"Un Acadien errant en voyage partout au Canada à vélo. L'enfer c'est les autres.

I am an active cyclist too!",2202236205
66,rymkrs,1771,2396,63210,81,"i'm mostly fine | cat person | bird nerd | trees rule
(he/him)",279132398
67,faisal_moola,11285,11564,58842,209,https://t.co/CYpl1VvUto. U of Guelph. Former Director General at David Suzuki Foundation. Scientist working in solidarity w Indigenous Peoples. Tweets are my own.,48842195
68,banana_soup10,60,199,1440,0,,1348110385119961089
69,gwenanenn,4,120,365,0,Always take the long road.,859717280
70,RandomSecretary,5209,5471,18909,6,"Crack a smile, crack a smile. Stay awhile, stay awhile. I think the best is yet to come. So drink up, and good luck.",1176317005605023744
71,DonSimp80399848,81,77,2088,0,"Retiree living in a log cabin, just plain tired of Covid and Randy Hillier",1375397182350692353
72,MrsWhiteToo,262,525,14119,1,"it's medical science, not computer science.",1197559570492796929
73,trumpkilledcan1,1117,4640,57625,1,"I BELIEVE IN God,Jesus,his brother James ,Mary Magdalene ,Cathars,Metaphysics,the truth,critical thinking ,knowledge and the book of love",1215072506475769856
74,keep_initreal,697,1979,13184,5,"Sports junkie, fun, loving and will put you in your place when needed.. 🇨🇦🇨🇦🇨🇦",258018621
75,PotentEpitome,170,1473,4069,0,Articles + creative: Art. Home music production. Lyrics. Songwriting. Musicvids. NovelWriting. Photography. Inspiration. EQUALITY. Pro good people 💙🌈,1448214403195752448
76,PEdmondsonJones,4167,4963,10629,59,"Director Social Care, Health Integration & Well-being Stoke-on-Trent Council. Ex DPH Hartlepool, Redcar, York, Portsmouth. Patron @AuroraNewDawn, Views personal",305452853
77,Mackieran1,20,703,115,0,,1425516987652968450
78,DonWrig64956623,20,232,2180,0,Don't waste my time.,1006984850828505089
79,ElkeBabiuk,3313,2329,71399,9,"❤️ Attitude with Gratitude! Hates clickbait journalism/gotcha politics. Recovered former Conservative. I block haters, climate change deniers, & utter numpties!",86650800
80,KrysJ71,138,414,2286,0,"I believe in science. I prefer a logical rational discussion if your views differ from mine. 

Honk = Instant Block 
#atheist",265533630
81,thefrenchiemom1,7,131,239,0,Your basic crazy dog lady. Get vaccinated & follow SCIENCE not Facebook.,1258790181882212354
82,Jangledog,325,676,7422,8,"educator, news junkie, lover of the arts, hand-washer, antifascist, friend of puppets",21799544
83,thefakerebecca,150,1423,14932,12,,1508106764
84,Garnet_2203,3551,5000,160382,98,🇨🇦 🍁 Outdoor & animal enthusiast! Love my family my dog & Passion Fruit tea! #cdnpoli #onpoli #blacklivesmatter #humanrights #lgbtq 🏳️‍🌈,893479800
85,Phil_Coffins,8,42,143,0,"Not today, Jesus, not today. 🤘
May the bridges I burn light my path. 🔥 

OSINT is the way. 🕵️‍♂️🔎",1488990339646083072
86,PECsandbagger,7790,2646,35628,145,"Your source for breaking news and emergency response as it happens. Also politics, sports, weather, and shitposts.",468719630
87,Cr45tl3,60,64,772,0,"I love everyone; except antivaxxers  😘💉

B O O S T E D ✨",70442558
88,jillcs14,122,1659,2640,1,Too fussy to survive the apocalypse.,63802496
89,JewishNewsUSA,5947,5749,25007,33,"BREAKING News, Features on global events affecting the Jewish community. We will not remain silent.
Available for speaking events.   #Jewish #JCC #Israel #IDF",837648541002629120
90,ParkAvenue_Ash,229,155,6644,7,Miss Canadia 🇨🇦,41591447
91,ssr07surya,2248,349,34496,0,"carpediem! mahadev ❤||
hustler||Rajputana🚩⚔||Rt≠endorsement|| 🦁||Fitness|| 19|| FW||",1222063297521954816
92,BlokeVerse,3967,1006,31492,5,"People fight in order to protect what is precious to them and when they lose it, they are seized by the hatred.",1392805164830978054
93,melliep11,154,237,3188,0,Anonymous (and extremely burnt out) social worker.,1428035112613171210
94,greenmantel,486,943,21089,2,"mom, photographer, nw ontario girl, artist, yoga instructor living life out loud 🇨🇦 have the day you deserve🙂#RamRanchResistance",1536632898
95,michmackenzie,74,301,1332,0,🇨🇦 ~ triple vaxxed ~ Raptors/Jays fan ~ Leafs tolerant ~ COVID deniers/anti-vaxxers/conservatives will be blocked on sight ~ #ramranchresistance,508217726
96,oki8122,30,118,2099,0,middle aged - out of shape - kinda ugly - zero skills - zero accomplishments - vaccinated - boosted - dogs are cool - it's a van halen reference,1230921950119235584
97,buperac,8496,2613,2861,24,Engineer ⚙️ Ag Tech 🚜 “Hired Hand”🥾 Test everything in the light of healthy reason ~Rudolf Steiner,768160820
98,BlueRaveFinn,1711,2229,415260,232,Wondering what I'm going to do when I grow up. Pipio ergo sum.,332063391
99,aholyghost1,1291,3246,138106,34,"Opinions, everybody has one 😎 (Like/RT≠Endorsement) 
* NO LISTS *",2857162258
100,bedelialuna,421,414,18414,6,"you know, we're living in a society.

lesbian. she/her/elle.",3018320589
101,ltmcdies,1574,832,208926,6,West coaster Retired HC worker Prolific user of the #Block and always tries to remember...TWITTER AND ITS SILOS ARE NOT REAL LIFE.,104037382
102,CCandacejoe,176,693,9225,0,🍁🍻🐶😷🏒⚾️🇨🇦,1708732465
103,gail_sloane,1607,967,279745,17,Health Local News Government News Politics Nova Scotian News,919548186590621696
104,nickthemack,308,1569,10347,10,the one and only......,195419614
105,DrSalvelinus,150,657,11735,2,,337939828
106,virgywoolf,18,230,345,0,,183415751
107,sherisennhauser,2154,2093,31595,8,"Writer, artist, mother and wife... human rights, equality and ❤️     #ClimateBrawl #ClimateChange",3973575159
108,ReutersFacts,10838,1,243,166,"The social media verification team @Reuters. Seen something we should fact-check? Please get in touch, our DMs are open.",1232003748886700032
109,Mike_AJ_Henry,44,123,672,1,"Dad of 4, play guitar, I love my dogs “When the power of love overcomes the love of power, this world will know peace” - Jimi Hendrix",1488160865631318016
110,CPCDouches,608,325,49573,33,"drink pee, own libs",418032965
111,Jewelanland,683,449,59241,4,PROUD TO BE ALGONQUIN,889578475
112,bethke,1296,1941,12003,4,"adventurer, enthusiast, educator",16822891
113,jayneut,1113,2320,21536,4,"motorcyclist, golfer and hockey player 
I may be sarcastic, but I'll always be honest.
He/Him, Avs fan, Jays fan and poutine fan, in no particular order...",102581087
114,DennisCardiff,149569,157318,391986,1686,🌊🌊#author(https://t.co/w2iEepGrau)🌊(https://t.co/FbybYDAedH) 💉💉💉🌊#blogger(https://t.co/19S8YjaaKR) 🌊🌊#poet(https://t.co/d1XYoaYleo) 🇨🇦 #JailTrump #Resistance,163299688
116,whoulooknat,4492,3755,29998,27,Grew up on mock chicken sandwiches so I can survive anything I’m good at underwater basket weaving  https://t.co/611myOfL1W,44654701
117,sposullivan5,78,187,5259,0,Human. My opinions. 🇨🇦🇮🇪   Really good at blocking now.,1321590585074110464
120,johndowe49,3268,4584,77157,34,"Client,Mefloquine Mass Tort Litigation; Cofounder,International Mefloquine Veterans Alliance; Advocate for #VARoyalCommission in 🇨🇦.",3069762388
121,AveryFunPerson,300,477,23669,25,,22556059
122,TCrosbie11,121,632,999,1,,462606130
123,tomflem,3394,3553,105326,170,"Halifax and Hamilton: a Bluenoser in southern Ontario. Retired health sciences librarian (Dalhousie and McMaster).
No DMs, please.",24892031
124,LittleMissMaryB,621,1727,12609,0,"Exec. Admin. Coordinator, lover of nature, art, design, music, film, words, laughter, eating & drinking together.. amidst all the chaos ~",1884919135
125,LilSista2015,71,536,8465,0,,3989280195
126,Jocelyn85497802,409,495,17414,0,"ARTIST, PSW I DO IT BC I CARE!",1033428701579489281
128,orenmazor,1763,1408,73841,107,I can carry nearly eighty gigs of data in my head.,7133142
129,Alexandlpa,288,961,23066,0,,1200487076699017217
130,CharlesBauer11,27,125,1967,1,Propaganda so obvious a child could see through it.,1241166585613758464
131,lambk,694,1308,40500,3,,33765178
132,DarwinDawgur,19,133,263,1,"Future stowaway on Starship.              
Born at 321 ppm
They/Them/Theirs",543279258
133,Kim26664026,197,376,5772,1,"Family, friends, cats, gardening and thrifting. ❤️ Simple living. Gratitude=Happiness. I thank God (if there is one) for being Canadian. Coronation Street fan.",1272334563956514816
134,krismeloche,8806,9394,132110,11,"Twitter once suspended me for threatening a puppet/Coach/French/Ojibwe/Wendat/History lies/Son of the Three Fires Confederacy 

Comic relief, maybe.",339724344
135,PickleMrs,1451,1451,57031,8,"Canadian🇨🇦.
Atheist.
Human rights aren't a matter of opinion.
I'm the bleeding-heart liberal your Mama warned you about",345705144
136,TorontoDDG,1381,5001,303952,81,Must love cities. Urbanist. Explorer. Doesn’t hate condos. 5-star sudoku master. Steering Committee member of @chartercity_TO,271989352
137,authentic_jack,75,588,10928,1,,1156568048360464384
138,JohnSplicer,206,542,3818,0,"Proud Canuck, Community responsibility 
No use for anti-vaxxers, Pro mandates
#VoteFordOut2022
Conservatives DO NOT represent true Canadian values
#Justice4LTC",1481699924291076105
139,tekmds,1868,1427,274873,15,🇨🇦 🗝🧚🏻⚡️🎼💖👠,1217487751
140,jon_yee,279,369,3956,3,I point at things and push a button. Sometimes I get lucky.,577127465
141,Cips77,132,458,5012,0,"🇨🇦 She/Her My Canada includes you. Unfortunate truth is, we have a helluva way to go still. Don't be a turd bucket to one another yo, for real. ✌ Get Vaxd",351991314
142,m_aimz,23,97,832,0,Expect nothing and be grateful for everything🦋,3241102941
143,dawnpassmore,1494,4121,4869,17,"I love social media, I love my 2 boys. Proud Mom, Recruiter #bluejays #packers #LEAFS #family #416 #Tdot #the6 My views are my own SHE/HER",221624537
144,flassito,27,72,194,0,He/They,24495366
145,anik1968,2127,777,323635,4,book / movie lover and the World is ours to discover  🇨🇦🌍#resist #teamtrudeau,560707426
146,lind_z_k,38,185,1072,0,"Canadian writer, gamer, fur-baby mother, and wife.",567387015
147,Mme1960,1808,1871,12696,0,"You will be blocked if you're a conspiracy theorist, a science denier, racist, homophobic, misogynist or just plain stupid. She/her or it (if in a bad mood)🇨🇦",361939671
148,mazunte,178,848,3899,6,"🕊
keep flying high for freedom;
stay out their cage",23966185
149,widtvoet,13237,7714,94750,87,Een vormloze entiteit gevangen in de blauwdruk van de vijfde dimensie. Strijder in dienst van de Nieuwe Orde. Trots huisgenoot van Zayah.,47327273
150,ifyoufallphoto,91,274,563,0,,321690616
151,meanreus,8,130,296,0,,2822686780
152,Soybomberr,167,731,1999,2,Latest Twitch video: MINI BASS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !wiggle 5$moustache-rides!!!  !griyf !saltyroads  (╯°□… https://t.co/5yWZsF7Ljq,836212010253758464
153,nlclarke1112,1005,691,112507,1,,3750904576
154,KittEdotca,468,1192,49882,1,"Prone to yelling, terrifying displays of love, frantic eating & excellent lying down skills. Dad runs this because I can’t type. and don’t care about politics",712802463737360384
155,Dragonfliezzz,1220,3157,24183,3,,2801940764
156,MikeTwome,121,165,1939,0,Nova Scotia. Friendly Giant.,389801920
157,Percent76,386,1027,94483,1,"Dealing, daily, with the fact only 24 percent of eligible voters picked Doug Ford. Trying to make compassion cool.",1026468656195227649
159,Justmax360,1605,2629,10227,12,,435094631
161,ProperRightWing,28,38,899,1,Reclaiming conservatism from entitled bigots. Respect for diversity as individual freedom. Compassion. Personal responsibility for collective well-being.,1214093650751152128
162,AB_Parent2,1219,3545,43372,4,"CANADIAN, 1st and always, live in Alberta. Don't DM me. I will block. No lists, please. #IStandWithTrudeau. #IStandWithABTeachers",496282216
163,EatsFood2,1316,378,6512,9,Anti-Anti-Vaxxer 🇨🇦 #WeTheNorth #ptbo #ygk #Belleville #CMC #Ont #Ottawa,1438138473425297408
164,bbucci76,292,624,34614,0,,1346752914
165,winter_canada,2402,2364,169737,13,"She/her 

Get Vaccinated! 

I do NOT engage with antivaxxers, I block them!

Turtle Island",1179737909500489729
166,goonda13,275,375,51430,17,,3303970222
167,bakingmommy,44,97,2297,2,,88117004
168,paisleypattern5,89,268,3113,0,Retired from life but still knitting,2150011280
169,LarLafren,9,21,78,0,,1346931051982151683
170,AgonyNacho,4,188,177,0,A rapidly approaching middle age non binary curmudgeon who is most definitely an agony aunt even if I’m not your agony aunt.,1488299961422913536
171,gill_godwin,5630,1847,113075,1,Honesty with a kind heart rocks my world.,3145959239
172,mikethenavyguy,1143,1593,25573,0,Canadian Navy Veteran and father.,44523552
173,rightsprung,2408,2224,54768,56,"""Oh the good life is out there somewhere, so stay on my arm you little charmer"". Hyperlexic. 11q disorder. Husband to @mindthecompany   Insufferable smartass.",277132286
174,ThomasHall17,2762,1003,206288,171,"Retired House of Commons procedural clerk, interested in Constitution and language (les deux langues officielles).",703722876
176,BrianPaquin15,81,389,902,0,Have Enjoy,418400167
177,suzanbunner,124,328,12527,3,"Mom of 2 kids; best job ever! @BlueJays lover, always support your team! Outdoors+nature lover. Like twitter 4 timely info. Share love, not hate!",854441869199237126
178,Dumbshowsnoise,263,732,3140,1,"Check out my book ""That Looks Good on You - You Should Buy It!"" which is being serialized at https://t.co/5MiyStok5Z and then spread the word. Thanks! You're the best!",851212446366879744
179,BTP1960,1957,2656,86926,33,"A legend in my own lunch-time. Dog lover, political junkie, coffee addict, disturber of shit. 🌈 No DMs. #BLM #StandWithTrudeau #BidenHarris2024 #ProVaxx",547317369
180,Garnet_Dyer,5,172,114,0,,1455559690486788097
181,NancyBeauchemin,72,322,2569,0,"Wife, mom to both human and fur kids.  Radiation therapist.  OTF fan. My opinions are my own, and my family can attest that I have many!",894008707
182,snapthennap,1943,958,55214,15,"Albertan refugee thanks to this ridiculous government.

Surrounded by adult marshmallow test flunkies.",215886213
184,melishee,1300,4699,36762,8,"🇨🇦34-Year Old Person of Lived Experience. Fan of WWE, SVU, & Oilers. Imperfect Human. Born & raised in Stratford, ON🇨🇦 #SickNotWeak #IveGotYourBack911",30010915
185,amber_brown1989,82,262,8989,0,"RECE, wife and momma 🇨🇦",153997590
186,Heyyoulookitsme,239,444,6331,0,"I'm here for the excitement, when does it start?
Yes, I'm Canadian EH! #BidenHarris #VoteBlue2022 #BLM",1387822910275006468
187,VeeZeeToronto,156,905,7150,2,Mom to adorable tweenager. Lucky wife of a quantum foundations nerd. Online educator. Technical writer. Plant-based InstantPot enthusiast.,248034384
189,jojorobo58_jojo,870,454,77845,2,Just trying to make it through each day with a smile. They seem to be harder to find lately. Happy atheist 🙂,1368556596
190,AlexKronstein,1158,2233,14224,18,"Filmmaker, podcaster and freelance writer.  Proudly autistic.   Currently working on some pretty big projects.",15469499
191,davidpugliese,9455,3147,43031,217,"Ottawa Citizen newspaper journalist writing on military issues since 1982. I tweet interesting stories/observations. RT is FYI, not endorsement.",198928424
192,yavmontenegro,231,534,1903,0,"Doctoral Researcher
| Critical Surveillance Studies Nerd | TESL profe | Based in Tkaronto, Dish with One Spoon Territory | Mapuche ta iñche #WallmapuLibre",1346944313989726209
193,CLSylvestre1,44,412,3088,0,🇨🇦✊🏾🥂🍾🇨🇦 just a Canadian concerned about my American neighbours.,1045858282659868674
194,CamHolmstrom,2028,2393,41851,65,"Born & raised in NW Ontario, Proud Métis from Treaty 3. Former Hill staffer turned GR Consultant @blueskygroup. Author - Magpie Brûlé. My tweets are mine own",68966030
195,GirlStormy,3960,4207,19671,3,Interested in what’s happening. No DM.,133111282
196,flipkoin2,2400,3526,57815,9,"🙊🙉🙈. settler comrade
""If anyone is not hungry for justice, it may be because they are too full of privilege"" -Sharmarke Dubow
https://t.co/UB6fJL7u2m",1201532829860892673
197,JBHelpedMeTalk9,13257,12082,343094,158,I'm👸GemmaThebiggest#Belieber ❤️ Justin Bieber more than anything. I can talk thanks 2 JBI’m a proud #métis#indigenous#disabled #grateful I’m #Influenster,89791272
198,HaseebH__,393,568,3292,4,Staffer turned educator. Poli Sci & Religion Graduate UofT. Currently BEd UOttawa. Fun guy. #WhoDatNation,956360988965576704
199,DRE_DREY_DRE,710,647,24945,3,En guerre contre la désinformation.,4893753351
200,WorldCitizenLA,1477,3168,237131,74,O-Positive,247379602
201,CBCBGT,1792,2846,34969,50,"Sound Tech @CBCEarlyEdition
LoLo. Lelu. Lulu.
Alumni of three high schools.
Following.
Short-form journalism.
Anti-Burner Account.",325198177
202,1budhababy,539,184,15286,3,,454007741
204,eli_d_m,884,999,7545,38,Cree from Waswanipi #EeyouIstchee,27349747
205,OurTriumph,717,5004,45407,8,Can't get outta the rain.,2516626579
206,funswick,11,98,978,0,"Like the Lorax who speaks for the trees, I speak for the Truckers.
Deep Cover Antifa Agent,
Cybersecurity Professional,
Snappy Dresser",1363867413209563138
207,BlackCheesebur1,20280,20110,115152,3,"Radio told me, that's how I know.

Leader of the Action Squad of Action (#ASoA)/Seventh-day Garfunkelist. 

I smelled the piss, I slipped in the vomit.",864678243626102784
208,StevenK007,61,1174,12790,0,Dark sexy bold dangerous,1444657423323652097
209,CalvinSwine905,2639,3712,452311,759,"Artist, entrepreneur, educated bum; skills in writing, performing, film, photography; dances, jogs, tennises; loves beautiful music, cries a lot, tears of joy.",273465530
210,CionaodMcGrath,1316,2002,24490,57,"🍁 #Poet #Poetry #Literature #Writing #Screenwriting
🇨🇦 #BlackLivesMatter #IndigenousLivesMatter
☘️ Irish-Canadian living on unceded Algonquin land
❤️ 🐧 & 🐶",16377814
211,ohforpitysakes,428,2699,10242,1,"Function in disaster, finish in style. She/her. #BlackLivesMatter",59834748
213,Socialism4Jobs,7565,3165,465460,338,"Supporter @RSPCA_official @AnimalAid @LeagueACS @CNDuk. volunteer @CatsProtection vegan🍏science🔬cycling🚴‍♂️@TheGreenParty.
#antivaxxers need psychiatric help",2207392993
214,blackhandgame,627,2538,26059,4,"Overlord Crusade! We're working on it, so stay tuned. #visualnovel #renpy #indiegame",906880975052918785
215,miki_fern,378,2279,26352,4,"civil servant. amoungst other things. know the data, love the data, crunch everything, make decisions, re-evaluate, improve.",719181966436933632
216,hopefulcritic,2958,4931,92322,8,"Quietly influencing with hopeful criticism, father of 2, husband to 1 🇨🇦 Stay Safe - I won’t follow a locked account. DM’s=Auto Block🚫",274220538
217,phemale61,5276,5805,147974,191,"Passionate for justice, mystery of life & love, music, film. NYC SF NOLA RSA
#GetVaccinated 
#EndThePandemic
🌊🌊🌊",207141071
218,LelouMorin,65,511,598,1,,1419020630
219,apeykins,276,208,17311,23,Cats 》People,22916025
220,Canuck604BLM,232,2491,14775,0,"I love my family, I love my country, science is real, climate change is real, Black Lives Matter, Kindness Matters",1050211225
221,ItzDatShortStuf,3508,525,354079,1,Canada jawn made of sugar spice & brown rice 🇭🇹,563332498
222,cjacchris8,44,70,2036,0,,792046350619803648
223,WakeuptimeNOW,36,4,3177,0,Uncomfortable truths,1432252165544824836
224,nUrSe_RacHeD,13,115,455,0,I'm a nurse who swears a lot,789519536764497920
225,zchamu,4543,2407,134856,282,block first ask questions later or not at all,9606552
226,makeminemaple,30,193,1539,0,,1011315306
227,RobertFaubert1,169,143,2239,12,Editorial and commercial photographer specializing in adventure and travel photography. Lucky to call Ottawa my home.,515570090
